ts,X,Y,Z
1034704600,-3.1334836286231713,-0.11658219957321675,-0.3167825202313303
1034708600,-3.1334684839197404,-0.11657978409027868,-0.31678336938285767
1034712600,-3.1334381945240657,-0.11657495312645239,-0.31678506768449405
1034720600,-3.133423049831836,-0.11657253764556415,-0.3167859168346031
1034724600,-3.1334079051433537,-0.11657012216535914,-0.3167867659842394
1034728600,-3.1334306221774826,-0.11657374538592286,-0.31678549225960767
1034732600,-3.1334209607797345,-0.11663432766189506,-0.3167874182295717
1034740600,-3.1333982437491956,-0.11663070441562011,-0.31678869263045506
1034744600,-3.133401813762166,-0.1165725976575034,-0.3170406989822763
1034748600,-3.133386670249943,-0.11657018030190885,-0.31704154805910717
1034756600,-3.1333942420055845,-0.11657138897962059,-0.3170411235207509
1034760600,-3.1333790984952423,-0.11656897162436819,-0.31704197259734523
1034764500,-3.133366051377788,-0.11650476380617002,-0.3170413178846011
1034768500,-3.1333433361242196,-0.11650113780182947,-0.3170425908213648
1034776500,-3.133328192626569,-0.11649872046645728,-0.31704343944528324
1034780500,-3.1333130491327092,-0.11649630313176894,-0.31704428806872903
1034784500,-3.133328192626569,-0.11649872046645728,-0.31704343944528324
1034792500,-3.1333185244916164,-0.11655930221020128,-0.3170453688989916
1034796500,-3.1333185244916164,-0.11655930221020128,-0.3170453688989916
1034800500,-3.13330338100018,-0.11655688485837014,-0.31704621797322047
1034808500,-3.133326096238758,-0.11656051088637341,-0.3170449443616998
1034812500,-3.1333715267414837,-0.1165677629469986,-0.31704239713546495
1034816500,-3.1334093855196867,-0.11657380633555729,-0.3170402744436835
1034820500,-3.133432100797876,-0.11657743237074544,-0.3170390008271953
1034828500,-3.1334039101525892,-0.1165108071501571,-0.31703919632096533
1034832500,-3.1333963383957477,-0.11650959848101773,-0.31703962063392876
1034836500,-3.1334039101525892,-0.1165108071501571,-0.31703919632096533
1034844500,-3.1333984347859825,-0.11644780842927677,-0.31703811849205243
1034848500,-3.1333757195203185,-0.11644418244909985,-0.3170393907537145
1034852500,-3.1333681477669804,-0.11644297378938265,-0.31703981484069915
1034856500,-3.1333681477669804,-0.11644297378938265,-0.31703981484069915
1034864500,-3.1333454325126278,-0.11643934781125631,-0.31704108710094503
1034868500,-3.1333302890144528,-0.11643693049335979,-0.31704193527385216
1034872500,-3.1333302890144528,-0.11643693049335979,-0.31704193527385216
1034880500,-3.133278792656736,-0.11643213899248953,-0.3172984268315901
1034884500,-3.1332697150597193,-0.11642726122860837,-0.3170453279607599
1034888500,-3.1332924302856107,-0.11643088720160868,-0.3170440557040547
1034892500,-3.133284858542694,-0.11642967854377106,-0.3170444797897411
1034900500,-3.133284858542694,-0.11642967854377106,-0.3170444797897411
1034904500,-3.1332751904146883,-0.11649025979803988,-0.317046409625276
1034908500,-3.1332903338990414,-0.11649267713101864,-0.3170455610030117
1034916500,-3.1332539754705766,-0.1164903010558507,-0.3173012067384278
1034920500,-3.1332615466237437,-0.1164915106599381,-0.3173007824637719
1034924400,-3.1332464043183657,-0.11648909145193453,-0.31730163101296555
1034932400,-3.1332409368895777,-0.1164260910157728,-0.3173005470774464
1034936400,-3.1332485080410977,-0.1164273006107739,-0.3173001230285114
1034940400,-3.1332409368895777,-0.1164260910157728,-0.3173005470774464
1034944400,-3.1332485080410977,-0.1164273006107739,-0.3173001230285114
1034952400,-3.1332560791935746,-0.11642851020594612,-0.31729969897945826
1034956400,-3.1332409368895777,-0.1164260910157728,-0.3173005470774464
1034960400,-3.1332560791935746,-0.11642851020594612,-0.31729969897945826
1034968400,-3.1332539754705766,-0.1164903010558507,-0.3173012067384278
1034972400,-3.1332539754705766,-0.1164903010558507,-0.3173012067384278
1034976400,-3.1332539754705766,-0.1164903010558507,-0.3173012067384278
1034980400,-3.133278792656736,-0.11643213899248953,-0.3172984268315901
1034988400,-3.1332409368895777,-0.1164260910157728,-0.3173005470774464
1034992400,-3.1332409368895777,-0.1164260910157728,-0.3173005470774464
1034996400,-3.1332636503470073,-0.11642971980128947,-0.317299274930287
1035004400,-3.1332939349702777,-0.1164345581843741,-0.31729757873242087
1035008400,-3.1332939349702777,-0.1164345581843741,-0.31729757873242087
1035012400,-3.1332939349702777,-0.1164345581843741,-0.31729757873242087
1035020400,-3.133303609853137,-0.11637397732478481,-0.3172956490225273
1035024400,-3.133288467537163,-0.11637155815003729,-0.31729649667097115
1035028400,-3.1332657540703446,-0.11636792938919878,-0.317297768142752
1035032400,-3.1332294158718663,-0.11636554678505125,-0.31755342645451157
1035040400,-3.133199133626099,-0.11636070469035527,-0.31755512160198157
1035044400,-3.13320459312841,-0.11642370652008187,-0.3175562077381464
1035048400,-3.1332142747470617,-0.11636312573736068,-0.3175542740284827
1035056400,-3.1332445570005056,-0.11636796783342698,-0.31755257888006816
1035060400,-3.1332218453089844,-0.11636433626112032,-0.31755385024155613
1035064400,-3.1332067041860996,-0.11636191521377233,-0.31755469781529116
1035068400,-3.13319156306706,-0.1163594941671095,-0.31755554538855396
1035076400,-3.1332142747470617,-0.11636312573736068,-0.3175542740284827
1035080300,-3.1332521275662613,-0.1163691783578718,-0.31755215509266943
1035084300,-3.133259698132973,-0.11637038888248791,-0.3175517313051526
1035092300,-3.1332521275662613,-0.1163691783578718,-0.31755215509266943
1035096300,-3.133250016506967,-0.11643096971665737,-0.31755366366276444
1035100300,-3.1332575870734125,-0.1164321802500198,-0.31755323964978716
1035108300,-3.1333030104921167,-0.11643944345379381,-0.31755069556944143
1035112300,-3.1333181516392963,-0.1164418645230897,-0.31754984754171406
1035116300,-3.133354504262432,-0.11644423495875784,-0.3172941863310198
1035120300,-3.1333847889312043,-0.11644907335005718,-0.31729249012748484
1035128300,-3.133338752304774,-0.11650728803870113,-0.31755008211066066
1035132300,-3.1333236111524343,-0.1165048669508725,-0.31755093059002953
1035136300,-3.133316040577686,-0.11650365640721545,-0.31755135482953656
1035144300,-3.1332781877181923,-0.1164976036915027,-0.3175534760252968
1035148300,-3.133265157640813,-0.11643339078355365,-0.31755281563669163
1035152300,-3.133232764318261,-0.11649034043830667,-0.31755602145630496
1035156300,-3.133247905447748,-0.11649276152201939,-0.3175551729797755
1035164300,-3.1332857582881886,-0.11649881423430225,-0.3175530517863814
1035168300,-3.1332933288591365,-0.11650002477727331,-0.31755262754734764
1035172300,-3.1333030104921167,-0.11643944345379381,-0.31755069556944143
1035180300,-3.1333030104921167,-0.11643944345379381,-0.31755069556944143
1035184300,-3.1333105810652317,-0.11644065398835605,-0.31755027155563686
1035188300,-3.1333105810652317,-0.11644065398835605,-0.31755027155563686
1035192300,-3.133340863367177,-0.1164454961283191,-0.31754857549923665
1035200300,-3.13339993127124,-0.11645149254673377,-0.31729164202500876
1035204300,-3.133415073615033,-0.11645391174409499,-0.3172907939220603
1035208300,-3.1334075024426675,-0.1164527021453288,-0.31729121797359355
1035216300,-3.133415073615033,-0.11645391174409499,-0.3172907939220603
1035220300,-3.133393857431964,-0.11645396987985396,-0.31754560739598636
1035224300,-3.133393857431964,-0.11645396987985396,-0.31754560739598636
1035232300,-3.1333766052021654,-0.1165133407612741,-0.317547960910168
1035236300,-3.133393857431964,-0.11645396987985396,-0.31754560739598636
1035240200,-3.1334014280164144,-0.1164551804164732,-0.31754518338076354
1035244200,-3.133416569188131,-0.11645760149022598,-0.31754433534996346
1035252200,-3.1334014280164144,-0.1164551804164732,-0.31754518338076354
1035256200,-3.133416569188131,-0.11645760149022598,-0.31754433534996346
1035260200,-3.133416569188131,-0.11645760149022598,-0.31754433534996346
1035268200,-3.133477133912416,-0.11646728579209453,-0.31754094322203585
1035272200,-3.133496252841368,-0.11652900847158083,-0.3172876298907969
1035276200,-3.133513498940787,-0.11646963654363181,-0.31728528124138033
1035280200,-3.133513498940787,-0.11646963654363181,-0.31728528124138033
1035288200,-3.133524668563462,-0.11641275735198367,-0.31753689866768836
1035292200,-3.133558926067124,-0.11647689415317537,-0.31728273692048875
1035296200,-3.1335664972580757,-0.11647810375536514,-0.3172823128665935
1035304200,-3.1335664972580757,-0.11647810375536514,-0.3172823128665935
1035308200,-3.133558926067124,-0.11647689415317537,-0.31728273692048875
1035312200,-3.1335740684499473,-0.11647931335772611,-0.31728188881258007
1035320200,-3.133537698696239,-0.11647697010493574,-0.3175375510865447
1035324200,-3.1335473803678897,-0.11641638894484994,-0.3175356272920337
1035328200,-3.1335149868953565,-0.11647333848633437,-0.3175388231382402
1035332200,-3.1334998456993963,-0.11647091740812408,-0.317539671172113
1035340200,-3.133532239164014,-0.11641396788276773,-0.3175364748759215
1035344200,-3.133545269298381,-0.11647818064481245,-0.3175371270690765
1035348200,-3.1335528399014456,-0.11647939118486063,-0.3175367030514901
1035356200,-3.1335625215754543,-0.11641881000761764,-0.31753477970767374
1035360200,-3.133577662786701,-0.11642123107107083,-0.3175339321228415
1035364200,-3.1335928040016228,-0.11642365213520953,-0.31753308453753704
1035368200,-3.133585233393703,-0.11642244160305448,-0.3175335083302483
1035376200,-3.1335928040016228,-0.11642365213520953,-0.31753308453753704
1035380200,-3.1336003746104595,-0.11642486266753595,-0.31753266074470776
1035384200,-3.1336285459826363,-0.1164914965947733,-0.3175324628691264
1035392200,-3.1336800652322863,-0.11649624780875653,-0.3172759520439925
1035396200,-3.1336876364378563,-0.11649745741368571,-0.31727552798820763
1035400100,-3.1336724940276226,-0.11649503820399859,-0.31727637609965925
1035404100,-3.133657351621021,-0.11649261899499638,-0.3172772242106384
1035412100,-3.1335982635391564,-0.11648665442875052,-0.31753415894349
1035416100,-3.1335982635391564,-0.11648665442875052,-0.31753415894349
1035420100,-3.1335967820310753,-0.11648294216583623,-0.3172806166498313
1035428100,-3.1336367417539917,-0.11642719934234864,-0.3172770006373738
1035432100,-3.1336270668187423,-0.1164877805790466,-0.31727892043117967
1035436100,-3.1336346380179445,-0.11648899018277722,-0.3172784963762215
1035444100,-3.1336270668187423,-0.1164877805790466,-0.31727892043117967
1035448100,-3.1336346380179445,-0.11648899018277722,-0.3172784963762215
1035452100,-3.1336346380179445,-0.11648899018277722,-0.3172784963762215
1035456100,-3.1336003746104595,-0.11642486266753595,-0.31753266074470776
1035464100,-3.133570092180618,-0.11642002053925854,-0.31753435591531665
1035468100,-3.133585233393703,-0.11642244160305448,-0.3175335083302483
1035472100,-3.133585233393703,-0.11642244160305448,-0.3175335083302483
1035480100,-3.1335625215754543,-0.11641881000761764,-0.31753477970767374
1035484100,-3.1335170979638343,-0.11641154682137098,-0.31753732245933713
1035488100,-3.1335170979638343,-0.11641154682137098,-0.31753732245933713
1035492100,-3.1335095273651326,-0.11641033629092964,-0.31753774625086784
1035500100,-3.1335225574947256,-0.1164745490256967,-0.3175383991211266
1035504100,-3.133524668563462,-0.11641275735198367,-0.31753689866768836
1035508100,-3.133524668563462,-0.11641275735198367,-0.31753689866768836
1035516100,-3.1335074162969128,-0.1164721279471435,-0.31753924715523574
1035520100,-3.133501335080913,-0.11647462122673302,-0.31779323083072347
1035524100,-3.133501335080913,-0.11647462122673302,-0.31779323083072347
1035532100,-3.1334786250531477,-0.11647098679610352,-0.3177945027723282
1035536100,-3.1334861950614736,-0.1164721982728083,-0.3177940787919115
1035540100,-3.133471055045751,-0.11646977531957046,-0.31779492675262655
1035544100,-3.133471055045751,-0.11646977531957046,-0.31779492675262655
1035552100,-3.133471055045751,-0.11646977531957046,-0.31779492675262655
1035556100,-3.1334559150337515,-0.11646735236701948,-0.3177957747128685
1035560000,-3.1334559150337515,-0.11646735236701948,-0.3177957747128685
1035568000,-3.1334634850392855,-0.11646856384320911,-0.3177953507328066
1035572000,-3.133493765070729,-0.1164734097496848,-0.3177936548113766
1035576000,-3.133493765070729,-0.1164734097496848,-0.3177936548113766
1035580000,-3.1334786250531477,-0.11647098679610352,-0.3177945027723282
1035588000,-3.1334765066507857,-0.11653277982848717,-0.31779600665857116
1035592000,-3.133461366637445,-0.11653035685807069,-0.3177968550699473
1035596000,-3.133461366637445,-0.11653035685807069,-0.3177968550699473
1035604000,-3.133453796632172,-0.11652914537312016,-0.3177972792754578
1035608000,-3.133453796632172,-0.11652914537312016,-0.3177972792754578
1035612000,-3.1334213982199564,-0.1165860928530552,-0.31780048230850266
1035620000,-3.1333986882217557,-0.11658245837500064,-0.31780175559926
1035624000,-3.133383548227649,-0.11658003539049039,-0.3178026044591723
1035628000,-3.1333932366236428,-0.11651945349970089,-0.3178006729152797
1035632000,-3.133391118224232,-0.11658124688265957,-0.3178021800292754
1035640000,-3.133356880099453,-0.11651708679389147,-0.3180563720858507
1035644000,-3.133349310694082,-0.11651587437314243,-0.3180567962535438
1035648000,-3.1333266024836393,-0.1165122371119276,-0.3180580687559124
1035656000,-3.1333060200119998,-0.11644680605704921,-0.31805783085281125
1035660000,-3.1332736166924677,-0.11650375017511459,-0.3180610379239593
1035664000,-3.1332221352292327,-0.11649894082089461,-0.31831760243893614
1035668000,-3.13319942882877,-0.11649530075385399,-0.31831887482668014
1035676000,-3.1331313096794062,-0.1164843805620355,-0.31832269198351026
1035680000,-3.1331161721013006,-0.11648195385463754,-0.3183235402392795
1035684000,-3.1330858969567505,-0.1164771004419088,-0.3183252367493954
1035692000,-3.133063190608569,-0.116473460384171,-0.31832650913073746
1035696000,-3.1331010345270798,-0.11647952714792864,-0.31832438849457456
1035700000,-3.1331313096794062,-0.1164843805620355,-0.31832269198351026
1035704000,-3.1331540160538336,-0.11648802062442448,-0.3183214195989672
1035712000,-3.133159451789469,-0.11655102901862087,-0.31832251224048413
1035716000,-3.133151882996331,-0.11654981565537033,-0.3183229365943108
1035719900,-3.1331367454129566,-0.11654738892938633,-0.3183237853016082
1035727900,-3.1331443142041597,-0.11654860229229215,-0.3183233609480189
1035731900,-3.133159451789469,-0.11655102901862087,-0.31832251224048413
1035735900,-3.1331670205835738,-0.1165522423820438,-0.31832208788653876
1035743900,-3.133159451789469,-0.11655102901862087,-0.31832251224048413
1035747900,-3.133159451789469,-0.11655102901862087,-0.31832251224048413
1035751900,-3.133159451789469,-0.11655102901862087,-0.31832251224048413
1035755900,-3.133151882996331,-0.11654981565537033,-0.3183229365943108
1035763900,-3.133151882996331,-0.11654981565537033,-0.3183229365943108
1035767900,-3.1331497499389047,-0.11661161113340575,-0.3183244543395648
1035771900,-3.133197295769637,-0.11655709583745927,-0.3183203904695704
1035779900,-3.133197295769637,-0.11655709583745927,-0.3183203904695704
1035783900,-3.1332048645685595,-0.11655830920174408,-0.31831996611503155
1035787900,-3.1332048645685595,-0.11655830920174408,-0.31831996611503155
1035791900,-3.1332124333684432,-0.11655952256620128,-0.3183195417603741
1035799900,-3.1332048645685595,-0.11655830920174408,-0.31831996611503155
1035803900,-3.133189726971676,-0.11655588247334682,-0.3183208148239905
1035807900,-3.133159451789469,-0.11655102901862087,-0.31832251224048413
1035815900,-3.1330949802783996,-0.1164819791719059,-0.31857842522365676
1035819900,-3.1330874120812,-0.11648076488078525,-0.3185788493147797
1035823900,-3.1330495711098343,-0.11647469342776996,-0.3185809697686147
1035831900,-3.1330571393021533,-0.11647590771802796,-0.31858054567808497
1035835900,-3.1330495711098343,-0.11647469342776996,-0.3185809697686147
1035839900,-3.1330722756897247,-0.11647833629906156,-0.3185796974966696
1035843900,-3.1331176848758364,-0.11648562204630307,-0.3185771529495762
