ts,anchor_addr,range
456852600,3,0.3095703125
457852600,3,0.234619140625
458852600,3,0.2064208984375
459852700,3,0.258056640625
460852700,3,0.197021484375
461852700,3,0.3095703125
462852700,3,0.290771484375
463852700,3,0.2392578125
465852700,3,0.2392578125
466852700,3,0.2486572265625
467852700,3,0.319091796875
468852700,3,0.2158203125
469852700,3,0.2392578125
470852700,3,0.314453125
471852700,3,0.304931640625
472852700,3,0.295654296875
473852700,3,0.2440185546875
474852800,3,0.2626953125
475852700,3,0.3095703125
476852700,3,0.30029296875
477852700,3,0.32373046875
479852800,3,0.2626953125
480852700,3,0.220458984375
481852700,3,0.290771484375
482852700,3,0.2486572265625
483852700,3,0.27685546875
484852700,3,0.2626953125
485852700,3,0.281494140625
486852700,3,0.258056640625
487852700,3,0.234619140625
488852700,3,0.2392578125
489852700,3,0.2298583984375
490852700,3,0.267333984375
491852700,3,0.2392578125
492852700,3,0.272216796875
493852700,3,0.30029296875
494852700,3,0.2298583984375
495852700,3,0.281494140625
496852700,3,0.267333984375
498852800,3,0.2252197265625
499852700,3,0.2626953125
500852700,3,0.2626953125
501852700,3,0.2486572265625
502852800,3,0.281494140625
503852800,3,0.258056640625
504852700,3,0.2392578125
505852700,3,0.2626953125
506852700,3,0.3095703125
507852800,3,0.27685546875
508852700,3,0.267333984375
509852700,3,0.272216796875
510852700,3,0.258056640625
511852800,3,0.2486572265625
512852800,3,0.25341796875
513852800,3,0.27685546875
514852800,3,0.25341796875
515852800,3,0.27685546875
516852800,3,0.25341796875
517852800,3,0.267333984375
518852800,3,0.267333984375
519852800,3,0.3095703125
520852800,3,0.2486572265625
521852800,3,0.25341796875
522852800,3,0.272216796875
523852800,3,0.2861328125
524852800,3,0.2486572265625
525852800,3,0.27685546875
526852800,3,0.258056640625
527852800,3,0.2486572265625
528852800,3,0.25341796875
529852800,3,0.30029296875
530852800,3,0.267333984375
531852800,3,0.2626953125
532852800,3,0.2158203125
533852800,3,0.290771484375
534852800,3,0.25341796875
535852800,3,0.234619140625
536852800,3,0.27685546875
537852800,3,0.30029296875
538852800,3,0.2626953125
539852800,3,0.258056640625
540852800,3,0.2486572265625
541852800,3,0.290771484375
542852800,3,0.2626953125
543852800,3,0.234619140625
544852800,3,0.2861328125
545852800,3,0.304931640625
546852800,3,0.295654296875
547852800,3,0.234619140625
548852800,3,0.267333984375
550852800,3,0.267333984375
551852800,3,0.2392578125
552852800,3,0.2861328125
553852800,3,0.25341796875
554852800,3,0.258056640625
555852800,3,0.2861328125
556852800,3,0.281494140625
557852800,3,0.234619140625
558852900,3,0.2861328125
559852900,3,0.342529296875
560852900,3,0.356689453125
561852900,3,0.351806640625
562852900,3,0.30029296875
563852900,3,0.304931640625
564852900,3,0.356689453125
565852900,3,0.30029296875
566852900,3,0.3095703125
567852900,3,0.290771484375
568852900,3,0.27685546875
569852900,3,0.272216796875
570852900,3,0.3095703125
571852900,3,0.3330078125
572852900,3,0.328369140625
573852900,3,0.281494140625
574852900,3,0.375244140625
575852900,3,0.272216796875
576852900,3,0.30029296875
577852900,3,0.319091796875
578852900,3,0.37060546875
579852900,3,0.3095703125
580852900,3,0.365966796875
581852900,3,0.37060546875
582852900,3,0.365966796875
583852900,3,0.304931640625
584852900,3,0.361328125
585852900,3,0.342529296875
586852900,3,0.304931640625
587852900,3,0.319091796875
588852900,3,0.319091796875
589852900,3,0.314453125
590852900,3,0.3330078125
591852900,3,0.34716796875
592852900,3,0.27685546875
593852900,3,0.3330078125
594852900,3,0.272216796875
595852900,3,0.30029296875
596852900,3,0.290771484375
597852900,3,0.267333984375
598852900,3,0.398681640625
599852900,3,0.351806640625
600852900,3,0.295654296875
601852900,3,0.319091796875
602852900,3,0.2861328125
603852900,3,0.342529296875
604852900,3,0.290771484375
605853000,3,0.27685546875
607853000,3,0.272216796875
608853000,3,0.32373046875
609853000,3,0.337890625
610853000,3,0.27685546875
611853000,3,0.267333984375
612853000,3,0.314453125
613853000,3,0.365966796875
614853000,3,0.272216796875
615853000,3,0.356689453125
616853000,3,0.375244140625
617853000,3,0.272216796875
618852900,3,0.304931640625
619852900,3,0.281494140625
620853000,3,0.361328125
621853000,3,0.272216796875
622852900,3,0.3330078125
623852900,3,0.34716796875
624852900,3,0.328369140625
625853000,3,0.361328125
626853000,3,0.319091796875
627852900,3,0.351806640625
628852900,3,0.361328125
629852900,3,0.2861328125
630853000,3,0.337890625
631852900,3,0.351806640625
632853000,3,0.304931640625
633853000,3,0.281494140625
634853000,3,0.319091796875
635853000,3,0.342529296875
636853000,3,0.258056640625
637853000,3,0.32373046875
638853000,3,0.281494140625
639853000,3,0.281494140625
640853000,3,0.2486572265625
641853000,3,0.32373046875
642853000,3,0.290771484375
643853000,3,0.30029296875
644853000,3,0.319091796875
645853000,3,0.30029296875
646853000,3,0.295654296875
647853000,3,0.2486572265625
648853100,3,0.2861328125
649853100,3,0.304931640625
650853000,3,0.2440185546875
651853000,3,0.234619140625
652853000,3,0.290771484375
653853100,3,0.2626953125
654853100,3,0.2440185546875
655853000,3,0.272216796875
656853000,3,0.290771484375
657853000,3,0.290771484375
658853100,3,0.2486572265625
659853100,3,0.2486572265625
660853000,3,0.290771484375
661853100,3,0.281494140625
662853000,3,0.25341796875
663853100,3,0.25341796875
664853000,3,0.3095703125
665853000,3,0.290771484375
666853000,3,0.272216796875
667853100,3,0.272216796875
668853100,3,0.295654296875
669853000,3,0.27685546875
670853000,3,0.2486572265625
671853000,3,0.258056640625
673853000,3,0.30029296875
674853000,3,0.30029296875
675853000,3,0.267333984375
676853000,3,0.25341796875
677853100,3,0.2626953125
678853000,3,0.304931640625
679853000,3,0.258056640625
680853000,3,0.267333984375
681853000,3,0.258056640625
682853100,3,0.304931640625
683853000,3,0.2861328125
684853000,3,0.2252197265625
685853000,3,0.2392578125
686853100,3,0.281494140625
687853100,3,0.2486572265625
688853000,3,0.27685546875
689853000,3,0.30029296875
690853100,3,0.290771484375
691853100,3,0.25341796875
692853100,3,0.267333984375
693853100,3,0.295654296875
694853100,3,0.295654296875
